threshold,f2,f1,recall,precision,positive_rate_predicted
0.11,0.7191613846903949,0.511265164644714,0.9866220735785953,0.34502923976608185,0.7586512866015972
0.51,0.7138517618469016,0.6275033377837116,0.7859531772575251,0.5222222222222223,0.3992901508429459
0.52,0.7129742962056304,0.6322930800542741,0.7792642140468228,0.5319634703196348,0.38864241348713396
0.1,0.7108433734939759,0.5008488964346349,0.9866220735785953,0.33560864618885095,0.7799467613132209
0.53,0.7103150092649784,0.6371191135734072,0.7692307692307693,0.5437352245862884,0.37533274179236914
0.54,0.7067247820672479,0.6403385049365303,0.7591973244147158,0.5536585365853659,0.36379769299023956
0.6,0.7000642260757868,0.6606060606060606,0.7290969899665551,0.6038781163434903,0.3203194321206744
0.55,0.6986215538847118,0.6380543633762518,0.745819397993311,0.5575,0.354924578527063
0.59,0.6955966815571155,0.6507462686567164,0.7290969899665551,0.5876010781671159,0.32919254658385094
0.57,0.6948831332912192,0.641399416909621,0.7357859531772575,0.5684754521963824,0.3433895297249335
0.56,0.6931316950220542,0.6376811594202898,0.7357859531772575,0.5626598465473146,0.3469387755102041
0.58,0.6911857958148383,0.6411764705882353,0.7290969899665551,0.5721784776902887,0.3380656610470275
0.61,0.6903225806451613,0.655436447166922,0.7157190635451505,0.6045197740112994,0.31410825199645076
0.62,0.6896551724137931,0.6625,0.7090301003344481,0.6217008797653959,0.3025732031943212
0.63,0.6856955380577427,0.6666666666666666,0.6989966555183946,0.6371951219512195,0.29103815439219166
0.64,0.6761213720316622,0.6623586429725363,0.68561872909699,0.640625,0.2839396628216504
0.65,0.6615691489361702,0.6556836902800659,0.6655518394648829,0.6461038961038961,0.2732919254658385
0.66,0.6588628762541806,0.6588628762541806,0.6588628762541806,0.6588628762541806,0.2653061224489796
0.67,0.6347062795408508,0.6438356164383562,0.6287625418060201,0.6596491228070176,0.2528837622005324
0.68,0.6177474402730375,0.6373239436619719,0.6053511705685619,0.6728624535315985,0.23868677905944988
0.69,0.5922865013774105,0.6198198198198198,0.5752508361204013,0.671875,0.22715173025732033
0.7,0.5767894371091036,0.6125461254612546,0.5551839464882943,0.6831275720164609,0.21561668145519078
0.71,0.5703289013296011,0.6127819548872181,0.5451505016722408,0.6995708154506438,0.2067435669920142
0.72,0.5477031802120141,0.5984555984555985,0.5183946488294314,0.7077625570776256,0.19432120674356698
0.73,0.5278174037089871,0.5861386138613861,0.49498327759197325,0.7184466019417476,0.18278615794143743
0.74,0.5104241552839683,0.5748987854251012,0.47491638795986624,0.7282051282051282,0.1730257320319432
0.75,0.4862119013062409,0.5571725571725572,0.44816053511705684,0.7362637362637363,0.16149068322981366
0.76,0.4512105649303008,0.5278969957081545,0.411371237458194,0.7365269461077845,0.1481810115350488
0.77,0.4194506310319228,0.5022222222222222,0.3779264214046823,0.7483443708609272,0.13398402839396628
0.78,0.3923766816143498,0.47619047619047616,0.3511705685618729,0.7394366197183099,0.12599822537710736
0.79,0.3660377358490566,0.4532710280373832,0.32441471571906355,0.751937984496124,0.11446317657497782
0.8,0.3454821564160972,0.43333333333333335,0.30434782608695654,0.7520661157024794,0.10736468500443656
0.81,0.32233307751343054,0.41379310344827586,0.2809364548494983,0.7850467289719626,0.09494232475598935
